Time	Torque	Current	Voltage	Cadans	Speed
5.541	-1.54	-0.02	41.26	0.00	0.00
5.592	-2.10	-0.05	41.26	0.00	0.00
5.641	-3.22	-0.05	41.26	0.00	0.00
5.691	-3.78	-0.09	41.26	0.00	0.00
5.741	-4.34	-0.09	41.26	0.00	0.00
5.791	-5.46	-0.05	41.26	0.00	0.00
5.841	-6.02	-0.02	41.26	25.42	0.00
5.891	-6.58	-0.02	41.26	25.42	0.00
5.941	-6.58	-0.05	41.26	25.42	0.00
5.991	-7.14	-0.02	41.26	25.42	0.00
6.041	-7.70	-0.02	41.26	25.42	0.00
6.091	-7.70	-0.02	41.26	25.42	0.00
6.141	-7.70	-0.02	41.26	25.42	0.00
6.191	-8.26	0.06	41.26	25.42	0.00
6.241	-8.82	-0.02	41.26	25.42	0.00
6.291	-8.26	0.02	41.26	25.42	0.00
6.341	-7.14	0.02	41.26	0.00	0.00
6.391	-6.02	0.02	41.26	0.00	0.00
6.441	-4.90	-0.12	41.26	0.00	0.00
6.491	-4.90	-0.09	41.26	0.00	0.00
6.541	-3.78	-0.02	41.26	0.00	0.00
6.591	-3.22	-0.02	41.26	0.00	0.00
6.641	-2.10	0.02	41.26	0.00	0.00
6.691	-0.98	-0.02	41.26	0.00	0.00
6.742	0.70	-0.05	41.26	0.00	0.00
6.791	1.26	-0.02	41.26	0.00	0.00
6.841	3.51	-0.05	41.26	0.00	0.00
6.891	5.75	-0.02	41.26	0.00	0.00
6.941	8.55	-0.05	41.26	0.00	0.00
6.991	11.91	-0.09	41.26	0.00	0.00
7.042	15.27	0.02	41.26	0.00	0.00
7.091	19.75	-0.09	41.26	0.00	0.00
7.141	23.11	-0.05	41.26	0.00	0.00
7.191	26.47	-0.05	41.26	0.00	0.00
7.241	29.83	0.45	41.09	0.00	0.00
7.291	32.63	3.15	40.69	0.00	4.45
7.342	33.75	8.08	39.84	0.00	4.45
7.392	42.71	11.32	38.99	0.00	4.45
7.442	39.35	10.06	38.87	0.00	4.45
7.492	34.87	8.91	38.42	0.00	4.45
7.542	48.31	11.75	38.13	0.00	4.45
7.592	35.43	10.39	38.19	0.00	4.45
7.642	40.47	13.84	37.45	0.00	4.45
7.692	47.19	11.25	37.85	0.00	4.45
7.742	35.99	9.74	37.11	0.00	4.45
7.792	28.15	9.81	37.68	0.00	4.45
7.842	21.43	10.10	37.00	0.00	4.45
7.892	19.19	10.10	37.45	0.00	4.45
7.942	18.63	9.05	36.88	0.00	4.45
7.992	16.39	9.52	37.45	0.00	4.45
8.042	15.83	11.07	36.66	18.66	4.45
8.092	18.07	9.49	37.39	18.66	4.45
8.142	26.47	8.98	36.71	18.66	4.45
8.193	20.31	11.57	37.22	18.66	4.45
8.242	11.91	8.84	37.45	18.66	4.45
8.292	15.27	11.03	36.71	18.66	4.45
8.342	25.35	11.57	37.11	18.66	4.45
8.392	11.35	8.77	36.71	18.66	4.45
8.442	27.03	10.89	36.48	18.66	6.83
8.493	13.03	9.38	36.77	18.66	6.83
8.542	20.87	0.74	38.64	0.00	6.83
8.592	18.07	-0.02	39.16	0.00	6.83
8.642	17.51	-0.02	39.33	0.00	6.83
8.692	16.39	0.02	39.50	0.00	6.83
8.742	16.39	-0.02	39.61	0.00	6.83
8.793	15.27	-0.02	39.72	0.00	6.83
8.843	13.59	-0.02	39.84	0.00	6.83
8.893	13.03	-0.02	39.89	0.00	6.83
8.943	11.35	-0.02	39.95	0.00	6.83
8.993	11.35	-0.09	40.01	0.00	6.83
9.043	10.79	0.06	40.07	0.00	6.83
9.093	9.67	0.02	40.12	0.00	6.83
9.143	9.67	-0.09	40.18	0.00	6.83
9.193	9.11	-0.09	40.24	0.00	6.83
9.243	9.67	-0.05	40.29	0.00	6.83
9.293	10.23	-0.02	40.35	0.00	6.83
9.344	10.79	-0.09	40.35	0.00	8.73
9.393	11.91	-0.02	40.41	0.00	8.73
9.443	11.91	-0.05	40.41	0.00	8.73
9.493	12.47	-0.05	40.46	0.00	8.73
9.543	12.47	-0.02	40.46	0.00	8.73
9.593	11.35	-0.02	40.52	0.00	8.73
9.644	11.91	0.02	40.52	0.00	8.73
9.693	12.47	-0.05	40.58	0.00	8.73
9.743	11.91	-0.05	40.58	0.00	8.73
9.793	12.47	-0.02	40.63	0.00	8.73
9.843	12.47	-0.05	40.63	0.00	8.73
9.893	13.03	-0.05	40.63	0.00	8.73
9.944	13.59	-0.09	40.69	0.00	8.73
9.993	13.59	0.06	40.69	0.00	8.73
10.043	14.15	-0.02	40.69	0.00	8.73
10.093	14.15	0.02	40.75	0.00	8.73
10.143	14.15	0.02	40.75	0.00	8.73
10.193	13.59	-0.05	40.75	0.00	8.73
10.243	13.59	-0.02	40.75	0.00	8.59
10.293	14.71	-0.02	40.75	0.00	8.59
10.343	13.59	-0.02	40.80	0.00	8.59
10.393	13.59	-0.02	40.80	0.00	8.59
10.443	14.15	-0.05	40.80	0.00	8.59
10.493	14.15	-0.02	40.80	0.00	8.59
10.543	13.59	-0.05	40.86	0.00	8.59
10.593	14.15	-0.02	40.86	0.00	8.59
10.643	14.15	0.06	40.86	0.00	8.59
10.693	14.15	-0.09	40.86	0.00	8.59
10.743	13.59	0.06	40.86	0.00	8.59
10.793	14.71	-0.05	40.86	0.00	8.59
10.843	13.59	-0.05	40.86	0.00	8.59
10.893	14.15	0.02	40.92	0.00	8.59
10.943	16.39	-0.05	40.92	0.00	8.59
10.993	15.83	-0.02	40.92	0.00	8.59
11.043	13.03	-0.02	40.92	0.00	8.59
11.094	13.03	-0.09	40.92	0.00	8.59
11.143	14.71	-0.02	40.92	0.00	8.59
11.193	15.27	-0.09	40.92	0.00	8.15
11.243	14.15	-0.05	40.92	0.00	8.15
11.293	14.15	-0.05	40.92	0.00	8.15
11.343	14.15	-0.05	40.97	0.00	8.15
11.394	13.03	-0.02	40.97	0.00	8.15
11.443	15.83	0.02	40.97	0.00	8.15
11.493	16.39	0.02	40.97	0.00	8.15
11.543	13.59	0.02	40.97	0.00	8.15
11.593	13.03	-0.02	40.97	0.00	8.15
11.643	14.15	-0.02	40.97	0.00	8.15
11.694	15.27	0.02	40.97	0.00	8.15
11.744	15.27	0.02	40.97	0.00	8.15
11.794	14.15	-0.05	40.97	0.00	8.15
11.844	14.15	0.02	40.97	0.00	8.15
11.894	14.71	-0.09	40.97	0.00	8.15
11.944	15.27	0.02	41.03	0.00	8.15
11.994	15.83	-0.09	41.03	0.00	8.15
12.044	14.15	-0.05	41.03	0.00	8.15
12.094	14.15	0.02	41.03	0.00	8.15
12.144	15.27	-0.05	41.03	0.00	8.15
12.194	14.71	-0.05	41.03	0.00	7.80
12.244	14.15	-0.02	41.03	0.00	7.80
12.294	14.71	-0.05	41.03	0.00	7.80
12.344	14.15	0.02	41.03	0.00	7.80
12.394	14.15	-0.05	41.03	0.00	7.80
12.444	13.59	-0.02	41.03	0.00	7.80
12.494	13.59	0.02	41.03	0.00	7.80
12.545	13.59	0.02	41.03	0.00	7.80
12.594	12.47	0.06	41.03	0.00	7.80
12.644	11.35	-0.02	41.03	0.00	7.80
12.694	11.35	0.02	41.03	0.00	7.80
12.744	9.11	-0.05	41.03	0.00	7.80
12.794	8.55	-0.05	41.03	0.00	7.80
12.845	7.43	-0.05	41.03	0.00	7.80
12.894	6.87	0.02	41.03	0.00	7.80
12.944	4.07	0.06	41.03	0.00	7.80
12.994	4.07	-0.12	41.09	0.00	7.80
13.044	2.39	-0.02	41.09	20.22	7.80
13.094	3.51	-0.02	41.09	20.22	7.80
13.145	3.51	-0.05	41.09	20.22	7.80
13.195	4.07	0.02	41.09	20.22	7.56
13.245	3.51	-0.02	41.09	20.22	7.56
13.295	3.51	0.02	41.09	20.22	7.56
13.345	2.95	-0.05	41.09	20.22	7.56
13.395	4.07	-0.05	41.09	21.87	7.56
13.445	6.87	0.16	41.09	21.87	7.56
13.495	6.87	-0.05	41.09	21.87	7.56
13.545	6.87	-0.02	41.09	21.87	7.56
13.595	6.31	0.09	41.09	21.87	7.56
13.645	5.75	0.02	41.09	21.87	7.56
13.696	5.75	-0.09	41.09	21.87	7.56
13.745	5.75	0.02	41.09	22.19	7.56
13.795	4.07	-0.05	41.09	22.19	7.56
13.845	4.63	-0.12	41.09	22.19	7.56
13.895	-2.10	-0.05	41.09	22.19	7.56
13.945	-1.54	-0.09	41.09	22.19	7.56
13.996	-2.10	-0.02	41.09	22.19	7.56
14.045	-1.54	-0.05	41.09	25.00	7.56
14.095	-0.42	-0.02	41.09	25.00	7.56
14.145	2.39	-0.09	41.09	25.00	8.39
14.195	7.43	0.13	41.09	25.00	8.39
14.245	16.95	0.06	41.09	25.00	8.39
14.296	27.59	0.52	40.97	26.88	8.39
14.345	32.63	3.69	40.41	26.88	8.39
14.395	41.03	6.46	39.21	26.88	8.39
14.445	58.39	11.14	38.76	26.88	8.39
14.495	57.83	9.70	38.25	26.88	8.39
14.545	48.87	9.95	38.25	26.88	8.39
14.595	55.59	8.19	37.91	27.08	8.39
14.645	64.55	8.15	37.91	27.08	8.39
14.695	67.35	9.81	37.74	27.08	8.39
14.745	64.55	7.51	38.02	27.08	8.39
14.795	58.95	7.83	37.68	27.08	8.39
14.845	58.39	6.93	37.74	29.41	8.39
14.895	54.47	6.32	37.85	29.41	10.01
14.945	43.83	5.67	38.36	29.41	10.01
14.995	33.19	5.35	38.59	29.41	10.01
15.045	32.07	3.15	38.87	29.41	10.01
15.095	21.43	4.66	38.59	31.51	10.01
15.145	12.47	4.05	38.53	31.51	10.01
15.195	11.35	3.19	38.76	31.51	10.01
15.245	0.70	2.94	38.99	31.51	10.01
15.295	5.75	4.84	39.04	35.55	10.01
15.345	-1.54	3.76	39.10	35.55	10.01
15.395	4.07	5.09	38.87	35.55	10.01
15.446	-2.66	3.44	38.93	35.55	10.01
15.495	1.26	3.80	38.81	35.89	10.01
15.545	-4.90	3.01	39.10	35.89	12.24
15.595	-2.10	4.12	39.04	35.89	12.24
15.645	-2.10	2.61	39.16	35.89	12.24
15.695	-4.90	3.26	39.04	36.41	12.24
15.746	-6.02	2.86	39.27	36.41	12.24
15.795	-6.02	2.58	39.16	36.41	12.24
15.845	-6.58	2.58	39.27	36.41	12.24
15.895	-6.02	2.25	39.27	36.95	12.24
15.945	-1.54	2.43	39.33	36.95	12.24
15.995	4.07	2.72	39.16	36.95	12.24
16.046	7.99	3.62	39.21	36.95	12.24
16.096	21.43	3.33	39.04	37.13	12.24
16.146	34.87	2.36	39.38	37.13	13.10
16.196	44.39	2.40	39.27	37.13	13.10
16.246	52.23	2.25	39.44	37.13	13.10
16.296	60.07	3.04	39.16	39.06	13.10
16.346	74.07	2.65	39.38	39.06	13.10
16.396	78.55	4.30	39.21	39.06	13.10
16.446	84.15	3.15	39.27	39.06	13.10
16.496	82.47	2.97	39.16	37.31	13.10
16.546	67.35	2.43	39.44	37.31	13.10
16.596	55.59	1.96	39.44	37.31	13.10
16.646	38.79	1.89	39.61	37.31	13.10
16.696	24.79	1.93	39.55	39.06	13.80
16.746	16.39	1.64	39.55	39.06	13.80
16.796	6.87	2.90	39.38	39.06	13.80
16.846	6.31	3.37	39.21	39.06	13.80
16.897	5.19	2.32	39.50	40.32	13.80
16.946	1.26	2.47	39.38	40.32	13.80
16.996	1.83	2.22	39.44	40.32	13.80
17.046	4.07	2.68	39.50	42.37	13.80
17.096	8.55	3.29	39.27	42.37	13.80
17.146	8.55	2.11	39.61	42.37	13.80
17.197	5.19	1.50	39.72	42.37	13.80
17.246	4.07	1.50	39.67	41.44	14.39
17.296	-6.02	1.64	39.72	41.44	14.39
17.346	0.70	2.07	39.72	41.44	14.39
17.396	3.51	1.75	39.67	41.44	14.39
17.446	1.26	1.82	39.72	39.06	14.39
17.497	2.95	1.75	39.72	39.06	14.39
17.547	10.23	1.57	39.78	39.06	14.39
17.597	21.99	0.70	39.95	48.39	14.39
17.647	36.55	2.14	39.78	48.39	14.39
17.697	44.95	1.75	39.78	48.39	14.39
17.747	48.31	1.39	39.78	43.86	15.49
17.797	51.67	1.24	39.89	43.86	15.49
17.847	55.59	1.24	39.89	43.86	15.49
17.897	57.83	1.46	39.95	43.86	15.49
17.947	51.11	0.88	40.01	43.10	15.49
17.997	35.99	1.17	40.01	43.10	15.49
18.048	24.79	0.63	40.12	43.10	15.49
18.097	14.71	0.56	40.18	46.58	15.49
18.147	9.11	0.70	40.12	46.58	15.49
18.197	2.95	0.67	40.18	46.58	16.37
18.247	1.26	0.88	40.18	46.30	16.37
18.297	0.70	1.28	40.01	46.30	16.37
18.348	-0.98	0.96	40.18	46.30	16.37
18.397	-2.66	0.60	40.18	46.30	16.37
18.447	-1.54	1.21	40.12	42.37	16.37
18.497	-4.90	0.85	40.24	42.37	16.37
18.547	-2.66	0.70	40.18	42.37	16.37
18.597	-6.02	0.81	40.24	49.67	16.37
18.648	-7.70	0.74	40.35	49.67	16.37
18.697	-9.38	0.24	40.35	49.67	16.30
18.747	-4.34	0.67	40.35	47.47	16.30
18.797	1.26	0.38	40.41	47.47	16.30
18.847	10.23	0.24	40.41	47.47	16.30
18.897	24.79	0.24	40.46	48.70	16.30
18.947	42.71	1.10	40.35	48.70	16.30
18.997	52.79	0.96	40.35	48.70	16.30
19.047	56.71	0.92	40.29	47.17	16.30
19.097	64.55	0.34	40.46	47.17	16.30
19.147	63.99	0.27	40.46	47.17	17.01
19.197	55.59	0.52	40.52	48.08	17.01
19.247	44.95	0.27	40.41	48.08	17.01
19.297	30.39	0.52	40.52	48.08	17.01
19.347	21.99	0.96	40.41	48.08	17.01
19.397	11.35	0.63	40.58	43.60	17.01
