Time	Torque	Current	Voltage	Cadans	Speed
6.5110	8.57	-0.0	41.32	66.67	12.87
7.5120	3.25	-0.0	41.32	70.42	14.56
8.5110	3.65	-0.0	41.32	72.99	15.09
9.5120	5.94	-0.0	41.32	75.19	15.93
10.5120	5.94	-0.0	41.32	76.92	16.44
11.5130	8.77	-0.0	41.32	79.37	16.61
12.5130	6.56	-0.0	41.32	80.65	17.16
13.5130	15.04	-0.0	41.32	48.08	17.43
14.5140	13.81	-0.0	41.32	0.00	17.28
15.5150	13.95	-0.0	41.32	0.00	16.90
16.5150	3.48	-0.0	41.32	73.53	15.96
17.5150	13.78	-0.0	41.32	71.43	15.49
18.5160	14.76	-0.0	41.31	70.42	15.09
19.5170	15.43	-0.0	41.31	68.97	14.42
20.5170	16.55	-0.0	41.32	69.93	14.98
21.5170	16.05	-0.0	41.31	67.57	14.86
22.5180	8.24	-0.0	41.32	64.10	13.93
23.5180	11.43	-0.0	41.31	69.93	14.78
24.5190	16.64	-0.1	41.31	68.97	14.78
25.5190	15.52	-0.0	41.31	71.94	14.98
26.5190	15.55	-0.0	41.31	69.44	14.64
27.5210	15.49	-0.0	41.31	68.03	14.69
28.5210	14.65	-0.0	41.32	67.11	14.42
29.5210	7.26	-0.0	41.31	68.03	14.69
30.5210	6.70	0.0	41.30	66.67	14.64
31.5220	-10.89	-0.0	41.26	0.00	13.35
32.5230	-10.75	-0.0	41.31	0.00	12.43
33.5230	-11.95	-0.0	41.31	0.00	10.04
34.5230	-10.83	-0.0	41.29	0.00	8.29
35.5240	-11.14	-0.0	41.30	37.17	9.26
36.5250	48.00	1.0	41.03	42.19	8.01
37.5250	8.85	1.6	40.28	56.18	10.93
38.5250	30.75	0.3	40.77	65.79	13.42
39.5250	21.26	0.2	41.00	70.42	14.86
40.5260	19.44	0.2	41.07	73.53	15.18
41.5270	10.79	0.1	41.09	74.63	16.00
42.5270	8.63	0.1	41.12	78.74	16.26
43.5270	11.79	0.1	41.13	75.19	16.06
44.5280	12.69	0.1	41.13	79.37	16.51
45.5290	12.94	0.1	41.13	77.52	16.37
46.5290	18.66	0.1	41.14	79.37	17.20
47.5290	17.53	0.1	41.14	84.03	17.47
