Time	Torque	Current	Voltage	Cadans	Speed
5.555	-11.62	13.26	36.09	0.00	0.00
5.605	-16.10	12.72	35.18	0.00	0.00
5.655	-16.66	10.78	35.52	0.00	0.00
5.705	-11.06	8.55	35.92	60.48	0.00
5.755	-11.62	11.47	35.41	60.48	0.00
5.806	-12.18	9.52	35.69	66.96	0.00
5.856	0.14	13.66	36.03	66.96	0.00
5.906	8.55	11.00	35.52	66.96	0.00
5.956	6.31	9.77	35.69	49.34	0.00
6.006	8.55	10.96	35.52	49.34	0.00
6.056	11.35	11.36	35.41	49.34	0.00
6.106	0.70	12.58	36.14	49.34	14.83
6.156	5.75	10.35	35.63	49.34	14.83
6.206	-1.54	9.56	35.75	49.34	14.83
6.256	4.07	2.94	37.22	49.34	14.83
6.306	-2.10	0.02	38.08	49.34	14.83
6.356	0.14	-0.02	38.25	49.34	14.83
6.406	-1.54	-0.05	38.36	49.34	14.83
6.456	-3.78	-0.05	38.42	15.50	20.58
6.506	-3.78	-0.02	38.53	15.50	20.58
6.556	-3.22	-0.05	38.53	15.50	20.58
6.606	-5.46	0.02	38.59	15.50	20.58
6.657	-7.14	-0.05	38.64	15.50	20.58
6.706	-9.38	0.06	38.64	15.50	20.58
6.756	-9.94	-0.02	38.64	15.50	20.58
6.806	-12.18	-0.02	38.64	15.50	20.58
6.856	-12.18	0.02	38.70	15.50	20.58
6.906	-11.62	-0.09	38.70	15.50	18.34
6.957	-11.06	-0.05	38.70	0.00	18.34
7.006	-11.62	-0.02	38.70	0.00	18.34
7.056	-12.18	-0.05	38.70	0.00	18.34
7.106	-12.18	-0.05	38.76	0.00	18.34
7.156	-9.38	-0.02	38.76	0.00	18.34
7.206	-10.50	-0.05	38.76	0.00	18.34
7.257	-10.50	0.06	38.76	0.00	18.34
7.307	-11.62	-0.02	38.76	0.00	19.39
7.357	-9.38	0.06	38.76	0.00	19.39
7.407	-12.74	-0.02	38.76	0.00	19.39
7.457	-11.06	0.02	38.76	0.00	19.39
7.507	-9.94	-0.09	38.76	0.00	19.39
7.557	-9.38	-0.05	38.76	0.00	19.39
7.607	-10.50	-0.05	38.76	0.00	19.39
7.657	-12.74	0.02	38.76	0.00	19.39
7.707	-8.82	-0.02	38.76	0.00	18.83
7.757	-6.58	0.02	38.76	0.00	18.83
7.808	-9.38	0.02	38.76	0.00	18.83
7.857	-13.30	-0.05	38.76	0.00	18.83
7.907	-12.18	-0.05	38.76	0.00	18.83
7.957	-8.82	-0.02	38.76	0.00	18.83
8.007	-7.14	-0.05	38.81	0.00	18.83
8.057	-8.82	-0.12	38.81	0.00	18.83
8.108	-10.50	0.02	38.81	32.75	18.83
8.157	-10.50	-0.02	38.81	32.75	17.67
8.207	-8.82	0.02	38.81	32.75	17.67
8.257	-9.94	-0.09	38.81	32.75	17.67
8.307	-11.06	-0.05	38.81	32.75	17.67
8.357	-10.50	-0.05	38.81	32.75	17.67
8.408	-8.26	-0.09	38.81	32.75	17.67
8.457	-7.70	0.09	38.81	32.75	17.67
8.507	-8.82	-0.02	38.81	32.75	17.67
8.557	-9.38	-0.09	38.81	32.75	18.34
8.607	-9.38	0.02	38.81	0.00	18.34
8.657	-8.26	0.02	38.81	0.00	18.34
8.707	-8.82	-0.02	38.81	0.00	18.34
8.757	-9.38	-0.02	38.81	0.00	18.34
8.807	-9.38	-0.02	38.81	0.00	18.34
8.857	-9.38	0.02	38.81	0.00	18.34
8.907	-9.94	0.02	38.81	0.00	18.34
8.957	-10.50	0.02	38.81	0.00	18.34
9.007	-9.94	-0.02	38.81	0.00	18.34
9.057	-11.06	-0.02	38.81	0.00	16.30
9.107	-11.62	-0.05	38.81	0.00	16.30
9.157	-11.06	-0.05	38.81	0.00	16.30
9.207	-9.94	-0.05	38.81	0.00	16.30
9.257	-9.94	-0.02	38.81	0.00	16.30
9.307	-8.82	-0.05	38.81	0.00	16.30
9.357	-9.94	-0.02	38.81	0.00	16.30
9.407	-10.50	0.02	38.81	0.00	16.30
9.457	-9.94	-0.05	38.81	0.00	16.30
9.507	-10.50	-0.05	38.81	0.00	17.20
9.558	-11.06	0.02	38.81	0.00	17.20
9.607	-10.50	-0.02	38.81	0.00	17.20
9.657	-9.94	-0.09	38.81	0.00	17.20
9.707	-10.50	-0.05	38.81	0.00	17.20
9.757	-11.06	-0.02	38.81	0.00	17.20
9.807	-11.62	-0.02	38.81	0.00	17.20
9.858	-11.06	-0.05	38.81	0.00	17.20
9.907	-11.06	-0.02	38.81	0.00	17.20
9.957	-11.62	-0.02	38.81	0.00	16.79
10.007	-12.18	-0.05	38.81	0.00	16.79
10.057	-11.06	-0.05	38.81	0.00	16.79
10.107	-10.50	-0.09	38.81	0.00	16.79
10.158	-11.06	0.06	38.81	0.00	16.79
10.208	-10.50	-0.02	38.81	0.00	16.79
10.258	-11.06	0.02	38.81	0.00	16.79
10.308	-11.06	0.06	38.81	0.00	16.79
10.358	-10.50	-0.02	38.81	0.00	16.79
10.408	-11.06	0.02	38.81	0.00	16.79
10.458	-12.18	-0.02	38.81	0.00	15.87
10.508	-11.62	0.02	38.81	0.00	15.87
10.558	-11.62	-0.02	38.81	0.00	15.87
10.608	-9.94	0.02	38.81	0.00	15.87
10.658	-9.94	-0.02	38.81	0.00	15.87
10.708	-11.06	-0.02	38.87	0.00	15.87
10.758	-11.06	0.02	38.87	0.00	15.87
10.808	-10.50	-0.02	38.81	0.00	15.87
10.858	-10.50	-0.02	38.87	0.00	15.87
10.908	-11.06	-0.02	38.87	0.00	16.47
10.958	-12.18	0.09	38.87	0.00	16.47
11.009	-12.74	0.02	38.87	0.00	16.47
11.058	-11.06	0.02	38.87	0.00	16.47
11.108	-10.50	0.02	38.87	0.00	16.47
11.158	-10.50	0.02	38.87	0.00	16.47
11.208	-12.18	0.02	38.87	0.00	16.47
11.258	-12.18	0.02	38.87	0.00	16.47
11.309	-11.62	-0.02	38.87	0.00	16.47
11.358	-11.62	-0.02	38.87	0.00	16.47
11.408	-11.62	0.02	38.87	0.00	15.83
11.458	-12.74	-0.02	38.87	0.00	15.83
11.508	-12.18	-0.02	38.87	0.00	15.83
11.558	-11.06	-0.05	38.87	0.00	15.83
11.609	-11.06	0.02	38.87	0.00	15.83
