Time	Torque	Current	Voltage	Cadans	Speed
5.566	5.19	-0.12	40.35	0.00	0.00
5.616	5.19	-0.02	40.35	0.00	0.00
5.666	5.75	-0.02	40.35	0.00	0.00
5.716	5.19	-0.05	40.35	0.00	0.00
5.766	5.19	-0.05	40.35	0.00	0.00
5.816	5.75	-0.05	40.35	0.00	0.00
5.866	5.19	-0.05	40.35	0.00	0.00
5.916	5.19	-0.02	40.35	0.00	0.00
5.966	5.19	0.02	40.35	0.00	0.00
6.017	5.19	-0.05	40.35	0.00	0.00
6.066	5.75	-0.09	40.35	0.00	0.00
6.116	5.19	-0.05	40.35	0.00	0.00
6.166	5.19	-0.09	40.35	0.00	0.00
6.216	5.19	-0.02	40.35	0.00	0.00
6.266	5.75	-0.09	40.35	0.00	0.00
6.317	5.75	-0.02	40.35	0.00	0.00
6.366	5.19	-0.05	40.35	0.00	0.00
6.416	5.19	-0.02	40.35	0.00	0.00
6.466	5.19	-0.02	40.35	0.00	0.00
6.516	5.19	-0.02	40.35	0.00	0.00
6.566	5.19	0.06	40.35	0.00	0.00
6.617	5.19	-0.09	40.35	0.00	0.00
6.667	5.75	-0.02	40.35	0.00	0.00
6.717	5.75	-0.09	40.35	0.00	0.00
6.767	5.19	0.02	40.35	0.00	0.00
6.817	5.19	0.02	40.35	0.00	0.00
6.867	5.19	-0.02	40.35	0.00	0.00
6.917	5.19	-0.02	40.35	0.00	0.00
6.967	5.19	-0.05	40.35	0.00	0.00
7.017	5.19	-0.09	40.35	0.00	0.00
7.067	5.19	0.09	40.35	0.00	0.00
7.117	5.19	0.02	40.35	0.00	0.00
7.168	5.19	-0.05	40.35	0.00	0.00
7.217	5.19	-0.02	40.35	0.00	0.00
7.267	5.19	-0.05	40.35	0.00	0.00
7.317	5.19	0.02	40.35	0.00	0.00
7.367	5.75	0.02	40.35	0.00	0.00
7.417	5.75	-0.05	40.35	0.00	0.00
7.468	5.19	-0.05	40.35	0.00	0.00
7.517	5.19	-0.02	40.35	0.00	0.00
7.567	5.19	-0.05	40.35	0.00	0.00
7.617	5.19	-0.05	40.35	0.00	0.00
7.667	5.19	-0.02	40.35	0.00	0.00
7.717	5.19	0.02	40.35	0.00	0.00
7.768	5.19	-0.05	40.35	0.00	0.00
7.817	5.19	-0.09	40.35	0.00	0.00
7.867	5.19	-0.05	40.35	0.00	0.00
7.917	5.75	-0.05	40.35	0.00	0.00
7.967	5.19	-0.02	40.35	0.00	0.00
8.017	5.19	-0.02	40.35	0.00	0.00
8.067	5.19	-0.05	40.35	0.00	0.00
8.117	5.19	0.02	40.35	0.00	0.00
8.167	5.75	-0.05	40.35	0.00	0.00
8.217	5.19	0.02	40.35	0.00	0.00
8.267	5.19	0.02	40.35	0.00	0.00
8.317	5.19	0.02	40.35	0.00	0.00
8.367	5.19	0.02	40.35	0.00	0.00
8.417	5.19	-0.02	40.35	0.00	0.00
8.467	5.75	-0.02	40.35	0.00	0.00
8.517	5.75	-0.05	40.35	0.00	0.00
8.567	5.75	-0.05	40.35	0.00	0.00
8.617	5.19	-0.02	40.35	0.00	0.00
8.667	5.19	-0.05	40.35	0.00	0.00
8.717	5.19	-0.05	40.35	0.00	0.00
8.767	5.19	-0.09	40.35	0.00	0.00
8.817	5.19	-0.05	40.35	0.00	0.00
8.867	5.19	-0.05	40.35	0.00	0.00
8.918	5.19	0.02	40.35	0.00	0.00
8.967	5.19	-0.09	40.35	0.00	0.00
9.017	5.75	-0.09	40.35	0.00	0.00
9.067	5.19	0.02	40.35	0.00	0.00
9.117	5.19	-0.05	40.35	0.00	0.00
9.167	5.19	-0.02	40.35	0.00	0.00
9.218	5.19	-0.05	40.35	0.00	0.00
9.267	5.75	-0.02	40.35	0.00	0.00
9.317	5.19	-0.05	40.35	0.00	0.00
9.367	5.19	-0.05	40.35	0.00	0.00
9.417	5.19	-0.05	40.35	0.00	0.00
9.467	5.19	-0.09	40.35	0.00	0.00
9.518	5.75	-0.02	40.35	0.00	0.00
9.568	5.19	-0.02	40.35	0.00	0.00
9.618	5.19	-0.05	40.35	0.00	0.00
9.668	5.19	-0.02	40.35	0.00	0.00
9.718	5.19	-0.05	40.35	0.00	0.00
9.768	5.19	-0.09	40.35	0.00	0.00
9.818	5.75	-0.05	40.35	0.00	0.00
9.868	5.19	-0.02	40.35	0.00	0.00
9.918	5.19	-0.05	40.35	0.00	0.00
9.968	5.19	-0.02	40.35	0.00	0.00
10.018	5.19	-0.09	40.35	0.00	0.00
10.068	5.19	-0.09	40.35	0.00	0.00
10.118	5.19	-0.02	40.35	0.00	0.00
10.168	5.19	-0.02	40.35	0.00	0.00
10.218	5.19	-0.05	40.35	0.00	0.00
10.268	5.19	-0.05	40.35	0.00	0.00
10.318	5.19	-0.02	40.35	0.00	0.00
10.369	5.19	0.02	40.35	0.00	0.00
10.418	5.19	-0.09	40.35	0.00	0.00
10.468	5.19	0.02	40.35	0.00	0.00
10.518	5.19	0.02	40.35	0.00	0.00
10.568	5.19	0.02	40.35	0.00	0.00
10.618	5.19	-0.05	40.35	0.00	0.00
10.669	5.19	-0.09	40.35	0.00	0.00
10.718	5.19	-0.09	40.35	0.00	0.00
10.768	5.19	0.02	40.35	0.00	0.00
10.818	5.19	-0.05	40.35	0.00	0.00
10.868	5.75	-0.09	40.35	0.00	0.00
10.918	5.19	0.02	40.35	0.00	0.00
10.969	5.75	0.02	40.35	0.00	0.00
11.019	5.19	-0.02	40.35	0.00	0.00
11.069	5.19	-0.05	40.35	0.00	0.00
11.119	5.19	0.02	40.35	0.00	0.00
11.169	5.19	0.02	40.35	0.00	0.00
11.219	5.19	0.06	40.35	0.00	0.00
11.269	5.19	-0.05	40.35	0.00	0.00
11.319	5.19	0.02	40.35	0.00	0.00
11.369	5.19	0.02	40.35	0.00	0.00
11.419	5.75	-0.09	40.35	0.00	0.00
11.469	5.19	-0.09	40.35	0.00	0.00
11.520	5.19	-0.02	40.35	0.00	0.00
11.569	5.19	-0.05	40.35	0.00	0.00
11.619	5.19	-0.05	40.35	0.00	0.00
11.669	5.19	0.06	40.35	0.00	0.00
11.719	5.19	-0.02	40.35	0.00	0.00
11.769	5.75	-0.05	40.35	0.00	0.00
11.820	5.19	0.02	40.35	0.00	0.00
11.869	5.75	0.02	40.35	0.00	0.00
11.919	5.19	-0.05	40.35	0.00	0.00
11.969	5.19	-0.05	40.35	0.00	0.00
12.019	5.75	0.02	40.35	0.00	0.00
12.069	5.19	-0.02	40.35	0.00	0.00
12.120	5.19	-0.05	40.35	0.00	0.00
12.169	5.19	-0.05	40.35	0.00	0.00
12.219	5.19	-0.02	40.35	0.00	0.00
12.269	5.19	-0.05	40.35	0.00	0.00
12.319	5.75	0.02	40.35	0.00	0.00
12.369	5.19	-0.02	40.35	0.00	0.00
12.419	5.19	-0.02	40.35	0.00	0.00
12.469	5.19	-0.02	40.35	0.00	0.00
12.519	5.19	0.02	40.35	0.00	0.00
12.569	5.75	-0.02	40.35	0.00	0.00
12.619	5.75	-0.05	40.35	0.00	0.00
12.669	5.19	0.02	40.35	0.00	0.00
12.719	5.75	-0.09	40.35	0.00	0.00
12.769	5.19	-0.02	40.35	0.00	0.00
12.819	5.19	-0.02	40.35	0.00	0.00
12.869	5.19	0.02	40.35	0.00	0.00
12.919	5.19	-0.05	40.35	0.00	0.00
12.969	5.75	-0.02	40.35	0.00	0.00
13.019	5.19	-0.02	40.35	0.00	0.00
13.069	5.19	-0.02	40.35	0.00	0.00
13.119	5.19	-0.02	40.35	0.00	0.00
13.169	5.19	-0.02	40.35	0.00	0.00
13.219	5.19	-0.02	40.35	0.00	0.00
13.270	5.19	0.02	40.35	0.00	0.00
13.319	5.19	0.02	40.35	0.00	0.00
13.369	5.19	-0.05	40.35	0.00	0.00
13.419	5.19	0.02	40.35	0.00	0.00
13.469	5.75	-0.09	40.35	0.00	0.00
13.519	5.75	-0.02	40.35	0.00	0.00
13.570	5.75	-0.05	40.35	0.00	0.00
13.619	5.75	-0.05	40.35	0.00	0.00
13.669	5.75	-0.05	40.35	0.00	0.00
13.719	5.75	-0.05	40.35	0.00	0.00
13.769	5.75	-0.09	40.35	0.00	0.00
13.819	5.19	-0.09	40.35	0.00	0.00
13.870	5.75	-0.12	40.35	0.00	0.00
13.920	5.75	-0.02	40.35	0.00	0.00
13.970	5.75	-0.12	40.35	0.00	0.00
14.020	5.75	-0.09	40.35	0.00	0.00
14.070	5.75	-0.05	40.35	0.00	0.00
14.120	5.75	-0.09	40.35	0.00	0.00
14.170	5.75	-0.09	40.35	0.00	0.00
14.220	5.75	-0.09	40.35	0.00	0.00
14.270	5.75	-0.02	40.35	0.00	0.00
14.320	5.75	-0.05	40.35	0.00	0.00
14.370	5.75	-0.05	40.35	0.00	0.00
14.420	5.19	-0.05	40.35	0.00	0.00
14.470	5.19	-0.09	40.35	0.00	0.00
14.520	5.19	-0.05	40.35	0.00	0.00
14.570	5.75	-0.05	40.35	0.00	0.00
14.620	5.75	-0.09	40.35	0.00	0.00
14.670	5.19	-0.05	40.35	0.00	0.00
14.721	5.75	-0.09	40.35	0.00	0.00
14.770	5.75	-0.02	40.35	0.00	0.00
14.820	5.19	0.02	40.35	0.00	0.00
14.870	5.75	-0.09	40.35	0.00	0.00
14.920	5.19	-0.09	40.35	0.00	0.00
14.970	5.75	-0.05	40.35	0.00	0.00
15.021	5.75	-0.02	40.35	0.00	0.00
15.070	5.75	-0.02	40.35	0.00	0.00
15.120	5.19	0.02	40.35	0.00	0.00
15.170	5.19	-0.05	40.35	0.00	0.00
15.220	5.19	-0.02	40.35	0.00	0.00
15.270	5.19	0.02	40.35	0.00	0.00
15.321	5.75	-0.05	40.35	0.00	0.00
15.371	5.75	-0.05	40.35	0.00	0.00
15.421	5.75	-0.05	40.35	0.00	0.00
15.471	5.19	-0.02	40.35	0.00	0.00
15.521	5.19	-0.05	40.35	0.00	0.00
15.571	5.75	-0.02	40.35	0.00	0.00
15.621	5.19	-0.09	40.35	0.00	0.00
15.671	5.19	-0.09	40.35	0.00	0.00
15.721	5.75	-0.02	40.35	0.00	0.00
15.771	5.19	-0.02	40.35	0.00	0.00
15.821	5.19	-0.05	40.35	0.00	0.00
15.872	5.19	-0.05	40.35	0.00	0.00
