Time	Torque	Current	Voltage	Cadans	Speed
6.4970	17.95	0.2	40.38	74.07	19.99
7.4970	18.26	0.2	40.39	74.63	19.94
8.4980	17.53	0.2	40.39	72.99	19.44
9.4990	15.88	0.2	40.38	71.94	19.64
10.4990	12.47	0.2	40.37	69.44	19.25
11.4990	11.68	0.2	40.36	71.43	18.92
12.5000	16.81	0.2	40.35	69.44	18.69
13.5010	22.18	0.3	40.34	68.97	18.13
14.5010	25.18	0.3	40.32	67.57	17.96
15.5010	27.73	0.3	40.32	65.79	17.59
16.5020	19.58	0.4	40.26	64.94	17.32
17.5020	11.63	0.4	40.28	65.36	17.59
18.5030	21.18	0.4	40.28	65.79	17.32
19.5030	26.72	0.3	40.27	67.57	17.43
20.5030	22.46	0.3	40.28	66.23	17.75
21.5050	21.23	0.3	40.32	67.11	17.92
22.5050	15.49	0.3	40.31	66.23	17.96
23.5050	10.81	0.3	40.30	65.79	17.75
24.5050	19.86	0.4	40.26	62.50	16.94
25.5060	25.63	0.7	40.15	63.69	16.72
26.5070	26.86	0.5	40.14	62.11	16.65
27.5070	17.23	0.5	40.16	62.89	16.76
28.5070	11.60	0.4	40.19	64.10	17.32
29.5080	24.56	0.4	40.22	64.10	17.13
30.5090	25.18	0.3	40.27	66.23	17.55
31.5090	26.55	0.3	40.27	66.67	17.32
32.5090	20.62	0.4	40.26	64.10	17.43
33.5090	12.38	0.3	40.26	64.10	17.39
34.5100	22.07	0.3	40.25	67.11	17.39
35.5110	26.61	0.3	40.26	67.11	17.71
36.5110	24.40	0.3	40.29	66.67	18.08
37.5110	22.74	0.2	40.28	67.11	17.75
38.5120	15.41	0.3	40.29	66.23	17.96
39.5130	9.16	0.3	40.30	67.57	17.88
40.5130	13.67	0.3	40.32	69.93	18.52
41.5130	20.06	0.2	40.32	69.93	18.74
42.5140	20.70	0.3	40.32	69.93	18.74
43.5140	20.70	0.2	40.33	70.92	18.78
44.5150	21.46	0.2	40.32	68.49	18.69
45.5150	20.31	0.2	40.33	66.23	17.83
46.5150	12.66	0.3	40.29	66.67	17.88
47.5160	19.08	0.3	40.29	66.67	17.63
48.5170	27.67	0.2	40.29	67.11	17.92
49.5170	24.62	0.3	40.28	66.23	17.79
50.5180	26.02	0.5	40.24	62.50	16.83
51.5180	17.53	0.9	40.06	60.61	16.51
52.5180	15.97	0.7	40.01	62.11	16.33
53.5190	30.14	0.6	40.07	62.11	16.72
54.5190	27.87	0.4	40.16	64.10	17.16
55.5200	23.56	0.4	40.21	64.94	17.32
56.5200	8.43	0.4	40.23	65.36	17.59
57.5210	5.80	0.4	40.22	71.94	17.28
58.5210	18.35	0.5	40.18	71.43	17.09
59.5220	20.03	0.3	40.24	74.07	17.59
60.5220	19.24	0.3	40.28	75.19	17.96
61.5230	20.76	0.3	40.25	77.52	18.25
62.5230	18.46	0.3	40.29	76.92	18.17
63.5230	18.68	0.3	40.27	76.34	17.88
64.5240	19.47	0.2	40.30	76.92	18.30
65.5240	17.76	0.2	40.28	76.34	18.30
66.5250	15.88	0.3	40.30	76.92	18.13
67.5250	17.65	0.3	40.30	74.63	17.96
68.5260	17.28	0.3	40.26	71.43	17.24
69.5260	17.39	0.5	40.19	71.94	17.09
70.5280	12.52	0.6	40.16	70.92	16.87
71.5270	12.05	0.8	40.05	67.11	16.37
72.5270	20.06	1.2	39.81	67.57	15.90
73.5280	24.45	1.5	39.67	66.67	15.67
74.5290	24.59	1.5	39.58	64.94	15.45
75.5290	19.92	1.5	39.55	66.23	15.39
76.5290	9.25	1.1	39.69	67.11	15.74
77.5300	9.50	0.8	39.85	68.03	16.23
78.5300	15.69	1.0	39.81	67.57	16.20
79.5320	23.42	0.9	39.86	70.42	16.37
80.5310	19.33	0.5	40.03	70.92	16.83
81.5310	17.79	0.4	40.09	71.43	16.87
82.5320	18.43	0.4	40.11	71.94	16.87
83.5330	16.02	0.5	40.12	69.93	17.01
84.5330	11.79	0.7	40.08	70.42	16.79
85.5330	12.05	0.5	40.08	71.94	16.90
86.5340	16.41	0.4	40.15	74.07	16.98
87.5350	17.37	0.4	40.17	74.07	17.24
88.5360	16.16	0.3	40.17	72.46	17.20
89.5350	-7.42	0.1	40.27	0.00	16.51
90.5360	-0.50	-0.0	40.39	0.00	16.51
91.5360	0.14	-0.0	40.41	0.00	0.00
92.5370	0.06	-0.0	40.46	0.00	0.00
93.5370	-0.25	-0.0	40.46	21.10	0.00
94.5370	0.65	-0.0	40.46	24.27	0.00
95.5380	2.39	-0.0	40.46	22.68	5.64
96.5390	-0.02	-0.0	40.46	0.00	5.64
97.5390	0.14	-0.1	40.46	0.00	0.00
98.5390	0.14	-0.0	40.46	0.00	0.00
99.5400	0.14	-0.0	40.46	0.00	0.00
100.5410	0.09	-0.0	40.46	0.00	0.00
101.5410	0.14	-0.0	40.46	0.00	0.00
102.5410	0.17	-0.0	40.46	0.00	0.00
103.5420	0.23	-0.0	40.46	0.00	0.00
104.5420	0.17	-0.0	40.46	0.00	0.00
105.5430	0.14	-0.0	40.46	0.00	0.00
106.5430	0.26	-0.0	40.46	0.00	0.00
107.5430	0.28	-0.0	40.47	0.00	0.00
108.5450	0.23	-0.0	40.47	0.00	0.00
109.5450	0.23	-0.0	40.47	0.00	0.00
110.5450	0.31	-0.0	40.48	0.00	0.00
111.5450	0.26	-0.0	40.49	0.00	0.00
112.5460	0.26	-0.0	40.51	0.00	0.00
113.5470	0.34	-0.0	40.51	0.00	0.00
114.5470	0.31	-0.0	40.52	0.00	0.00
115.5470	0.34	-0.0	40.52	0.00	0.00
116.5480	0.28	-0.0	40.52	0.00	0.00
117.5490	0.28	-0.0	40.52	0.00	0.00
118.5490	0.26	-0.0	40.52	0.00	0.00
119.5490	0.31	-0.0	40.52	0.00	0.00
120.5490	0.26	-0.0	40.52	0.00	0.00
121.5500	0.28	-0.1	40.52	0.00	0.00
122.5510	0.31	-0.0	40.52	0.00	0.00
123.5510	0.28	-0.0	40.52	0.00	0.00
124.5510	0.34	-0.0	40.52	0.00	0.00
125.5520	0.28	-0.0	40.52	0.00	0.00
126.5530	0.31	-0.1	40.52	0.00	0.00
127.5530	0.23	-0.0	40.52	0.00	0.00
128.5530	0.23	-0.0	40.52	0.00	0.00
129.5540	0.26	-0.1	40.52	0.00	0.00
130.5540	0.31	-0.1	40.52	0.00	0.00
131.5550	0.34	-0.0	40.52	0.00	0.00
132.5550	0.26	-0.1	40.52	0.00	0.00
133.5550	0.26	-0.0	40.52	0.00	0.00
134.5560	1.01	-0.1	40.52	0.00	0.00
135.5570	0.62	-0.0	40.52	0.00	0.00
136.5570	0.79	-0.1	40.52	0.00	0.00
137.5580	3.11	-0.1	40.52	0.00	0.00
138.5580	1.91	-0.0	40.52	0.00	0.00
139.5580	6.03	-0.0	40.52	0.00	5.35
140.5590	41.17	-0.1	40.52	21.41	5.35
141.5590	7.03	4.8	38.97	26.74	5.15
142.5600	9.53	9.8	36.66	40.32	6.54
143.5600	25.80	5.2	37.85	52.36	11.83
144.5610	26.30	2.9	38.68	56.50	12.84
145.5610	11.35	2.4	38.95	60.98	13.76
146.5620	12.24	1.9	39.17	63.69	14.81
147.5620	23.58	1.7	39.33	63.29	15.21
148.5630	22.52	1.6	39.37	64.94	15.30
149.5630	21.18	1.4	39.47	65.36	15.61
150.5630	12.30	1.2	39.55	66.23	15.80
151.5640	9.39	1.0	39.69	68.49	15.80
152.5640	15.91	0.8	39.78	68.49	16.16
153.5650	18.43	0.9	39.78	68.97	16.16
154.5650	21.04	0.7	39.89	70.42	16.51
155.5660	17.53	1.2	39.76	65.79	15.83
156.5660	17.87	1.2	39.64	65.79	15.61
157.5680	8.15	1.6	39.49	64.94	15.42
158.5670	12.49	1.7	39.39	63.69	15.15
159.5670	22.52	1.9	39.30	64.94	15.18
160.5680	19.19	1.6	39.40	64.52	15.42
161.5690	19.75	1.7	39.37	64.10	15.27
162.5690	9.47	1.8	39.33	63.69	15.58
163.5690	12.72	1.6	39.37	64.94	15.24
164.5700	23.84	1.2	39.51	66.23	15.67
165.5700	21.40	0.9	39.66	68.49	16.13
166.5720	18.85	0.9	39.73	67.11	16.03
167.5710	17.06	1.1	39.65	67.11	15.83
168.5710	10.28	1.1	39.63	66.23	15.90
169.5720	12.86	1.2	39.65	66.67	15.90
170.5730	22.10	1.5	39.51	64.94	15.52
171.5730	24.96	1.7	39.40	65.36	15.30
172.5730	24.06	1.5	39.42	64.10	15.21
173.5740	17.62	1.6	39.40	65.36	15.49
174.5750	9.67	1.5	39.38	64.94	15.42
175.5760	21.82	1.5	39.37	64.52	15.30
176.5750	25.77	1.7	39.32	64.52	15.30
177.5760	24.42	1.5	39.40	65.79	15.52
178.5760	20.34	1.3	39.48	65.36	15.64
179.5770	11.04	1.3	39.54	65.36	15.77
180.5770	13.81	1.0	39.60	67.57	15.90
181.5770	20.98	1.1	39.60	66.23	15.93
182.5780	21.65	1.0	39.64	68.49	16.00
183.5790	19.83	0.9	39.69	66.67	15.96
184.5790	17.11	0.8	39.73	67.11	16.23
