Time	Torque	Current	Voltage	Cadans	Speed
5.565	-32.90	-0.05	38.76	0.00	0.00
5.615	-31.22	-0.05	38.76	0.00	0.00
5.665	-35.14	0.02	38.76	0.00	0.00
5.715	-34.02	-0.09	38.81	0.00	0.00
5.765	-34.02	-0.05	38.81	0.00	0.00
5.815	-33.46	-0.05	38.81	0.00	0.00
5.865	-35.14	-0.02	38.81	0.00	0.00
5.915	-39.06	0.02	38.81	0.00	0.00
5.965	-35.14	0.02	38.81	0.00	19.49
6.016	-32.90	-0.02	38.81	0.00	19.49
6.065	-39.62	0.02	38.81	0.00	19.49
6.115	-45.22	-0.02	38.81	0.00	19.49
6.165	-48.02	-0.05	38.81	0.00	19.49
6.215	-40.18	0.06	38.81	0.00	19.49
6.265	-40.18	0.02	38.81	0.00	19.49
6.316	-45.78	0.02	38.81	0.00	19.49
6.365	-46.90	-0.09	38.81	0.00	19.49
6.415	-47.46	-0.02	38.81	0.00	17.96
6.465	-49.70	0.06	38.87	0.00	17.96
6.515	-50.82	-0.02	38.87	0.00	17.96
6.565	-45.22	-0.05	38.87	0.00	17.96
6.616	-49.70	-0.12	38.87	0.00	17.96
6.665	-49.70	0.02	38.87	0.00	17.96
6.715	-50.82	-0.12	38.87	0.00	17.96
6.765	-52.50	-0.05	38.87	0.00	17.96
6.815	-52.50	0.02	38.87	0.00	17.96
6.865	-51.94	0.06	38.87	0.00	17.55
6.915	-51.94	-0.02	38.87	0.00	17.55
6.965	-56.42	-0.02	38.87	0.00	17.55
7.015	-56.98	0.02	38.87	0.00	17.55
7.065	-54.18	0.02	38.87	0.00	17.55
7.115	-48.58	-0.02	38.87	0.00	17.55
7.165	-48.02	0.06	38.87	0.00	17.55
7.215	-47.46	-0.05	38.87	0.00	17.55
7.265	-48.58	0.02	38.87	0.00	17.55
7.315	-52.50	0.02	38.87	0.00	17.28
7.365	-53.06	-0.02	38.87	0.00	17.28
7.415	-54.18	0.06	38.87	0.00	17.28
7.465	-51.94	-0.09	38.87	0.00	17.28
7.515	-54.18	-0.05	38.87	0.00	17.28
7.565	-49.14	-0.05	38.87	0.00	17.28
7.615	-49.14	-0.09	38.87	0.00	17.28
7.665	-51.94	0.02	38.87	0.00	17.28
7.715	-48.02	-0.02	38.87	0.00	17.28
7.766	-49.70	0.06	38.87	0.00	16.83
7.815	-49.70	-0.05	38.87	0.00	16.83
