Time	Torque	Current	Voltage	Cadans	Speed
5.176	3.51	-0.05	40.63	0.00	0.00
5.226	3.51	-0.09	40.63	0.00	0.00
5.276	3.51	-0.09	40.63	0.00	0.00
5.326	3.51	-0.12	40.63	0.00	0.00
5.377	3.51	-0.05	40.63	0.00	0.00
5.426	3.51	-0.05	40.63	0.00	0.00
5.476	3.51	-0.05	40.63	0.00	0.00
5.526	3.51	-0.05	40.58	0.00	0.00
5.576	3.51	-0.05	40.58	0.00	0.00
5.626	3.51	-0.02	40.58	0.00	0.00
5.677	3.51	0.06	40.58	0.00	0.00
5.726	3.51	-0.05	40.63	0.00	0.00
5.776	3.51	0.02	40.58	0.00	0.00
5.826	3.51	-0.05	40.58	0.00	0.00
5.876	3.51	-0.09	40.58	0.00	0.00
5.926	3.51	-0.05	40.58	0.00	0.00
5.977	3.51	-0.02	40.58	0.00	0.00
6.027	3.51	-0.09	40.58	0.00	0.00
6.077	3.51	-0.05	40.58	0.00	0.00
6.127	3.51	-0.05	40.58	0.00	0.00
6.177	3.51	-0.05	40.58	0.00	0.00
6.227	3.51	-0.02	40.58	0.00	0.00
6.277	3.51	-0.16	40.58	0.00	0.00
6.327	3.51	-0.02	40.58	0.00	0.00
6.377	3.51	0.02	40.58	0.00	0.00
6.427	3.51	-0.05	40.58	0.00	0.00
6.477	3.51	-0.02	40.58	0.00	0.00
6.528	3.51	-0.09	40.58	0.00	0.00
6.577	3.51	-0.05	40.58	0.00	0.00
6.627	4.07	-0.05	40.58	0.00	0.00
6.677	3.51	-0.09	40.58	0.00	0.00
6.727	3.51	-0.09	40.58	0.00	0.00
6.777	3.51	-0.12	40.58	0.00	0.00
6.828	3.51	-0.05	40.58	0.00	0.00
6.877	3.51	0.02	40.58	0.00	0.00
6.927	4.07	-0.02	40.58	0.00	0.00
6.977	3.51	-0.05	40.58	0.00	0.00
7.027	3.51	-0.05	40.58	0.00	0.00
7.077	4.07	-0.09	40.58	0.00	0.00
7.128	3.51	-0.09	40.58	0.00	0.00
7.177	3.51	0.02	40.58	0.00	0.00
7.227	3.51	0.06	40.58	0.00	0.00
7.277	4.07	-0.05	40.58	0.00	0.00
7.327	3.51	-0.09	40.58	0.00	0.00
7.377	3.51	-0.05	40.58	0.00	0.00
7.427	3.51	-0.02	40.58	0.00	0.00
7.477	4.07	-0.05	40.58	0.00	0.00
7.527	3.51	-0.09	40.58	0.00	0.00
7.577	3.51	-0.02	40.58	0.00	0.00
7.627	3.51	-0.05	40.58	0.00	0.00
7.677	3.51	-0.02	40.58	0.00	0.00
7.727	3.51	-0.05	40.58	0.00	0.00
7.777	3.51	-0.05	40.58	0.00	0.00
7.827	3.51	0.06	40.58	0.00	0.00
7.877	3.51	0.02	40.58	0.00	0.00
7.927	3.51	0.02	40.58	0.00	0.00
7.977	3.51	-0.05	40.58	0.00	0.00
8.027	3.51	0.06	40.58	0.00	0.00
8.077	3.51	-0.05	40.58	0.00	0.00
8.127	3.51	-0.02	40.58	0.00	0.00
8.177	3.51	0.06	40.58	0.00	0.00
8.227	3.51	-0.05	40.58	0.00	0.00
8.278	3.51	-0.02	40.58	0.00	0.00
8.327	4.07	-0.05	40.58	0.00	0.00
8.377	3.51	-0.09	40.58	0.00	0.00
8.427	3.51	0.02	40.58	0.00	0.00
8.477	4.07	-0.09	40.58	0.00	0.00
8.527	3.51	-0.02	40.58	0.00	0.00
8.578	3.51	0.06	40.58	0.00	0.00
8.627	4.07	-0.02	40.58	0.00	0.00
8.677	3.51	-0.05	40.58	0.00	0.00
8.727	3.51	0.06	40.58	0.00	0.00
8.777	3.51	-0.02	40.58	0.00	0.00
8.827	3.51	-0.12	40.58	0.00	0.00
8.878	3.51	0.02	40.58	0.00	0.00
8.928	3.51	-0.05	40.58	0.00	0.00
8.978	3.51	-0.02	40.58	0.00	0.00
9.028	3.51	-0.12	40.58	0.00	0.00
9.078	3.51	0.02	40.58	0.00	0.00
9.128	3.51	-0.02	40.58	0.00	0.00
9.178	3.51	-0.05	40.58	0.00	0.00
9.228	3.51	-0.02	40.58	0.00	0.00
9.278	3.51	-0.05	40.58	0.00	0.00
9.328	3.51	-0.12	40.58	0.00	0.00
9.378	3.51	0.06	40.58	0.00	0.00
9.428	4.07	-0.02	40.58	0.00	0.00
9.478	3.51	-0.02	40.58	0.00	0.00
9.528	3.51	-0.12	40.58	0.00	0.00
9.578	3.51	0.02	40.58	0.00	0.00
9.628	3.51	-0.05	40.58	0.00	0.00
9.678	3.51	-0.02	40.58	0.00	0.00
9.729	3.51	-0.12	40.58	0.00	0.00
9.778	4.07	-0.02	40.58	0.00	0.00
9.828	4.07	-0.02	40.58	0.00	0.00
9.878	3.51	0.02	40.58	0.00	0.00
9.928	3.51	-0.02	40.58	0.00	0.00
9.978	3.51	-0.05	40.58	0.00	0.00
10.029	3.51	-0.05	40.58	0.00	0.00
10.078	3.51	0.02	40.58	0.00	0.00
10.128	4.63	0.02	40.58	0.00	0.00
10.178	3.51	-0.02	40.58	0.00	0.00
10.228	4.07	-0.09	40.58	0.00	0.00
10.278	3.51	-0.05	40.58	0.00	0.00
10.329	3.51	-0.05	40.58	0.00	0.00
10.379	4.07	0.02	40.58	0.00	0.00
10.429	3.51	-0.05	40.58	0.00	0.00
10.479	4.07	-0.05	40.58	0.00	0.00
10.529	4.07	0.02	40.58	0.00	0.00
10.579	4.07	0.06	40.58	0.00	0.00
10.629	4.07	-0.09	40.58	0.00	0.00
10.679	3.51	-0.05	40.58	0.00	0.00
10.729	4.07	-0.12	40.58	0.00	0.00
10.779	3.51	-0.05	40.58	0.00	0.00
10.829	4.07	-0.09	40.58	0.00	0.00
10.880	4.07	-0.02	40.58	0.00	0.00
10.929	3.51	-0.05	40.58	0.00	0.00
10.979	4.07	-0.05	40.58	0.00	0.00
11.029	4.07	-0.09	40.58	0.00	0.00
11.079	4.07	0.02	40.58	0.00	0.00
11.129	4.07	-0.09	40.58	0.00	0.00
11.180	4.07	-0.05	40.58	0.00	0.00
11.229	4.07	-0.02	40.58	0.00	0.00
11.279	4.07	-0.09	40.58	0.00	0.00
11.329	4.07	0.02	40.58	0.00	0.00
11.379	4.07	-0.05	40.58	0.00	0.00
11.429	4.07	-0.12	40.58	0.00	0.00
11.480	4.07	-0.09	40.58	0.00	0.00
11.529	4.07	-0.09	40.58	0.00	0.00
11.579	4.07	-0.05	40.58	0.00	0.00
11.629	4.63	0.02	40.58	0.00	0.00
11.679	4.63	0.02	40.58	0.00	0.00
11.729	4.63	-0.02	40.58	0.00	0.00
11.779	4.63	-0.02	40.58	0.00	0.00
11.829	4.63	-0.05	40.58	0.00	0.00
11.879	4.63	-0.02	40.58	0.00	0.00
11.929	4.63	-0.02	40.58	0.00	0.00
11.979	4.63	-0.05	40.58	0.00	0.00
12.029	5.19	-0.05	40.58	0.00	0.00
12.079	5.19	-0.02	40.58	0.00	0.00
12.129	5.19	-0.09	40.58	0.00	0.00
12.179	5.19	-0.05	40.58	0.00	0.00
12.229	5.19	-0.05	40.58	0.00	0.00
12.279	5.19	-0.02	40.58	0.00	0.00
12.329	5.75	-0.05	40.58	0.00	0.00
12.379	5.19	-0.05	40.58	0.00	0.00
12.429	5.19	-0.02	40.58	0.00	0.00
12.479	5.19	-0.02	40.58	0.00	0.00
12.529	4.63	0.02	40.58	0.00	0.00
12.579	5.19	-0.05	40.58	0.00	0.00
12.630	5.19	-0.05	40.58	0.00	0.00
12.679	5.19	-0.09	40.58	0.00	0.00
12.729	5.75	0.02	40.58	0.00	0.00
12.779	5.75	0.02	40.58	0.00	0.00
12.829	5.75	-0.05	40.58	0.00	0.00
12.879	5.75	-0.09	40.58	0.00	0.00
12.930	5.75	-0.02	40.58	0.00	0.00
12.979	5.75	-0.02	40.58	0.00	0.00
13.029	6.31	-0.09	40.58	0.00	0.00
13.079	6.31	-0.05	40.58	0.00	0.00
13.129	5.75	-0.02	40.58	0.00	0.00
13.179	5.19	-0.05	40.58	0.00	0.00
13.230	5.19	-0.02	40.58	0.00	0.00
13.280	5.19	-0.09	40.58	0.00	0.00
13.330	5.19	0.06	40.58	0.00	0.00
13.380	5.19	0.02	40.58	0.00	0.00
13.430	5.19	0.06	40.58	0.00	0.00
13.480	5.19	0.02	40.58	0.00	0.00
13.530	5.75	0.02	40.58	0.00	0.00
13.580	5.19	-0.05	40.58	0.00	0.00
13.630	5.75	-0.02	40.58	0.00	0.00
13.680	5.19	0.02	40.58	0.00	0.00
13.730	5.75	-0.02	40.58	0.00	0.00
13.780	5.75	-0.05	40.58	0.00	0.00
13.830	5.75	-0.02	40.58	0.00	0.00
13.880	6.31	0.02	40.58	0.00	0.00
13.930	6.31	0.02	40.58	0.00	0.00
13.980	6.31	0.06	40.58	0.00	0.00
14.030	6.31	-0.05	40.58	0.00	0.00
14.081	6.31	-0.02	40.58	0.00	0.00
14.130	6.31	-0.05	40.58	0.00	0.00
14.180	5.75	-0.02	40.58	0.00	0.00
14.230	5.75	0.06	40.58	0.00	0.00
14.280	5.75	-0.05	40.58	0.00	0.00
14.330	5.75	0.02	40.58	0.00	0.00
14.381	5.75	0.02	40.58	0.00	0.00
14.430	5.75	0.02	40.58	0.00	0.00
14.480	5.19	-0.02	40.58	0.00	0.00
14.530	5.19	-0.02	40.58	0.00	0.00
14.580	5.19	0.02	40.58	0.00	0.00
14.630	5.19	0.06	40.58	0.00	0.00
14.681	5.19	-0.05	40.58	0.00	0.00
14.731	4.63	0.06	40.58	0.00	0.00
14.781	4.63	-0.02	40.58	0.00	0.00
14.831	4.63	-0.09	40.58	0.00	0.00
14.881	4.63	-0.05	40.58	0.00	0.00
14.931	4.63	-0.02	40.58	0.00	0.00
14.981	4.63	0.06	40.58	0.00	0.00
15.031	4.63	-0.02	40.58	0.00	0.00
15.081	4.63	-0.05	40.58	0.00	0.00
15.131	4.07	-0.02	40.58	0.00	0.00
15.181	4.07	-0.02	40.58	0.00	0.00
15.232	4.07	0.02	40.58	0.00	0.00
15.281	4.07	-0.05	40.58	0.00	0.00
15.331	4.07	0.02	40.58	0.00	0.00
15.381	4.07	0.02	40.58	0.00	0.00
15.431	3.51	0.02	40.58	0.00	0.00
15.481	4.07	-0.05	40.58	0.00	0.00
15.532	4.07	-0.02	40.58	0.00	0.00
15.581	4.07	-0.02	40.58	0.00	0.00
15.631	4.07	0.06	40.58	0.00	0.00
15.681	4.07	-0.05	40.58	0.00	0.00
15.731	4.07	-0.02	40.58	0.00	0.00
15.781	3.51	-0.02	40.58	0.00	0.00
15.832	3.51	-0.05	40.58	0.00	0.00
15.881	3.51	0.02	40.58	0.00	0.00
